DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Finland,2019,5517919,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Finland,2020,5525292,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Finland,2021,5533793,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Finland,2022,5548241,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Finland,2023,5563970,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,France,2018,67026224,p,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,France,2019,67290471,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,France,2020,67473651,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,France,2021,67728568,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,France,2022,68091703,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,France,2023,68277210,p,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Georgia,2018,3729633,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Georgia,2019,3723464,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Georgia,2020,3716858,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Georgia,2021,3728573,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Georgia,2022,3688647,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Georgia,2023,3736357,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Croatia,2018,4014341,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Croatia,2019,3968676,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Croatia,2020,3933511,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Croatia,2021,3893026,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Croatia,2022,3862305,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Croatia,2023,3850894,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Hungary,2018,9713655,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Hungary,2019,9700272,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Hungary,2020,9689376,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Hungary,2021,9651461,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Hungary,2022,9610403,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Hungary,2023,9599744,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Ireland,2018,4855733,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Ireland,2019,4940311,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Ireland,2020,5012600,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Ireland,2021,5066893,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Ireland,2022,5154277,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Ireland,2023,5271395,,
